,restaurent,online_order,book_table,rating,votes,location,rest_type,food_type,cost,type,city
11756,Bangalore Shadi Biriyani,Yes,No,3.5,57,Vasanth Nagar,Quick Bites,"Chinese, North Indian",150,Delivery,Church Street
11758,Tandoor,Yes,Yes,3.9,1362,MG Road,Fine Dining,North Indian,2100,Delivery,Church Street
11759,Portland Steakhouse & Cafe,Yes,Yes,4.3,2040,MG Road,Casual Dining,"Steak, Italian, Continental, American, Burger, BBQ, Salad",1500,Delivery,Church Street
11760,Red Onion,Yes,Yes,4.2,552,Shanti Nagar,Casual Dining,"Chinese, North Indian, Biryani, Kebab",1200,Delivery,Church Street
11761,Mad Over Donuts,Yes,No,3.9,148,Brigade Road,Food Court,"Bakery, Desserts, Beverages",450,Delivery,Church Street
11762,Thalis Of India,Yes,No,3.4,21,Indiranagar,Delivery,"South Indian, North Indian, Beverages",500,Delivery,Church Street
11763,Maravanthe,Yes,Yes,4.4,686,Indiranagar,Casual Dining,"Seafood, Mangalorean",1000,Delivery,Church Street
11764,Hotel Fanoos,Yes,No,4.0,787,Richmond Road,Quick Bites,"Arabian, Biryani, Rolls, Kebab",400,Delivery,Church Street
11765,Classic Lassi Shop,Yes,No,3.5,43,Ulsoor,Beverage Shop,"Beverages, Ice Cream",150,Delivery,Church Street
11766,Feast India Co.,Yes,No,4.2,133,Cunningham Road,Casual Dining,"Awadhi, Bengali, North Indian",1500,Delivery,Church Street
11767,Fujan,Yes,No,3.6,54,Frazer Town,Casual Dining,"Chinese, Thai, Seafood",600,Delivery,Church Street
11769,Mahesh Lunch Home,Yes,Yes,4.1,860,Residency Road,Casual Dining,"Seafood, Mangalorean, North Indian, Chinese",1400,Delivery,Church Street
11770,Hatti Kaapi,Yes,No,3.9,54,Brigade Road,Quick Bites,"South Indian, Beverages",200,Delivery,Church Street
11771,Shawarma Inc,Yes,No,3.1,28,Brigade Road,Food Court,"Rolls, Lebanese",250,Delivery,Church Street
11772,Subway,Yes,No,3.3,69,Brigade Road,Quick Bites,"Healthy Food, Fast Food",500,Delivery,Church Street
11775,NH7 Refuel,Yes,No,3.4,19,Ulsoor,Quick Bites,"North Indian, Chinese, Biryani",400,Delivery,Church Street
11776,Peace Restaurant,Yes,No,2.8,109,Shanti Nagar,Casual Dining,"Chinese, Tibetan",500,Delivery,Church Street
11777,Promac Foods,Yes,No,2.8,0,Shanti Nagar,"Takeaway, Delivery","North Indian, South Indian",250,Delivery,Church Street
11778,The Cake City,Yes,No,3.2,4,Shanti Nagar,"Quick Bites, Bakery","Chinese, Continental, Desserts, Bakery",300,Delivery,Church Street
11780,The Cake House,Yes,No,3.7,29,Ulsoor,Bakery,"Bakery, Desserts",300,Delivery,Church Street
11781,Ibaco,Yes,No,4.0,289,Indiranagar,Dessert Parlor,Desserts,300,Delivery,Church Street
11782,Shanthi Sagar,Yes,No,4.1,205,Ulsoor,Quick Bites,"South Indian, North Indian, Chinese, Juices",250,Delivery,Church Street
11783,Kanti Sweets,Yes,No,3.6,20,Cunningham Road,"Dessert Parlor, Quick Bites","Mithai, Street Food",400,Delivery,Church Street
11784,Sherlock's Cafe,Yes,No,3.7,40,Frazer Town,Cafe,"Cafe, Fast Food",350,Delivery,Church Street
11785,Oregano Pizzeria,Yes,No,3.5,60,Frazer Town,Quick Bites,"Italian, Pizza",300,Delivery,Church Street
11786,Roll Junction,Yes,No,2.9,56,Cunningham Road,Quick Bites,"Fast Food, Rolls",150,Delivery,Church Street
11787,Drunken Monkey,Yes,No,4.0,122,Church Street,"Beverage Shop, Quick Bites","Beverages, Fast Food",400,Delivery,Church Street
11790,Shalimar,Yes,No,4.0,154,Indiranagar,Casual Dining,"North Indian, Chinese, Seafood",700,Delivery,Church Street
11791,Mangalore pearl - Seafood Restaurant,Yes,No,4.3,1379,Frazer Town,Casual Dining,"Mangalorean, Seafood",700,Delivery,Church Street
11792,Alampur Bar And Restaurant,Yes,No,3.7,42,Race Course Road,Casual Dining,"Chinese, South Indian, North Indian",900,Delivery,Church Street
11793,KC Das,Yes,No,3.9,370,MG Road,"Sweet Shop, Quick Bites","Mithai, Street Food",200,Delivery,Church Street
11796,Oh! Calcutta,Yes,Yes,4.4,1112,Church Street,"Casual Dining, Bar","Bengali, Seafood",1200,Delivery,Church Street
11797,Halli Mane,Yes,No,3.2,5,Majestic,Quick Bites,South Indian,300,Delivery,Church Street
11798,Bheema's,Yes,No,4.0,781,Church Street,Casual Dining,Andhra,650,Delivery,Church Street
11799,Kabab Korner,Yes,No,3.9,205,St. Marks Road,Casual Dining,"North Indian, Chinese, Fast Food",500,Delivery,Church Street
11800,Northern Route,Yes,No,4.1,159,St. Marks Road,Quick Bites,"North Indian, Street Food",300,Delivery,Church Street
11801,Kerala Kitchen,Yes,No,3.2,31,Brigade Road,Quick Bites,"Kerala, South Indian",200,Delivery,Church Street
11802,Kobe Sizzlers,Yes,No,4.1,1120,Brigade Road,Casual Dining,"American, Continental, Fast Food, Steak",1500,Delivery,Church Street
11803,Ayda Persian Kitchen,Yes,No,3.9,224,Church Street,Casual Dining,"North Indian, Iranian",950,Delivery,Church Street
11804,Royanna Military Canteen,Yes,No,3.9,0,Brigade Road,Quick Bites,"South Indian, Biryani",200,Delivery,Church Street
11806,Kitchen On Table,Yes,No,4.0,48,Brigade Road,Casual Dining,"Japanese, Sushi, Asian",1500,Delivery,Church Street
11807,Hotel Tom's Restaurant,Yes,Yes,4.4,714,Richmond Road,Casual Dining,"Mangalorean, Seafood, Chinese, North Indian",1000,Delivery,Church Street
11808,Tewari Bros Mithai Shoppie,Yes,No,3.8,59,Commercial Street,Sweet Shop,"Fast Food, Mithai",300,Delivery,Church Street
11809,Just Shawarma,Yes,No,3.8,110,Ulsoor,Quick Bites,Arabian,300,Delivery,Church Street
11810,Vijayalakshmi Veg,Yes,No,3.9,30,Frazer Town,Quick Bites,South Indian,200,Delivery,Church Street
11811,ROYCE' Chocolate,Yes,No,3.5,6,MG Road,Confectionery,Desserts,1000,Delivery,Church Street
11812,Wazir's,Yes,No,3.3,261,Shanti Nagar,Casual Dining,"North Indian, Chinese",500,Delivery,Church Street
11813,Gelato Italiano,Yes,No,2.9,17,Ulsoor,Dessert Parlor,"Ice Cream, Bakery, Desserts",200,Delivery,Church Street
11814,Aagaman Veg,Yes,No,4.0,558,Indiranagar,Casual Dining,"North Indian, Chinese, South Indian",900,Delivery,Church Street
11816,Momo Time,Yes,No,3.4,0,Ulsoor,"Takeaway, Delivery","Momos, Chinese",300,Delivery,Church Street
11817,Chung's Chinese Corner,Yes,No,2.7,283,Indiranagar,Casual Dining,Chinese,700,Delivery,Church Street
11818,Hotel Ruchi Priya,Yes,No,3.6,21,Wilson Garden,Quick Bites,North Indian,350,Delivery,Church Street
11819,Tree Top,Yes,No,3.8,74,Wilson Garden,Casual Dining,"Continental, Chinese, North Indian, South Indian",1000,Delivery,Church Street
11820,Parathe Wali Gali,Yes,No,3.9,36,Wilson Garden,Quick Bites,North Indian,250,Delivery,Church Street
11821,Fava,No,Yes,4.4,2041,Lavelle Road,"Casual Dining, Bar","Healthy Food, Mediterranean, Desserts, Italian, Pizza, Salad, Kebab",1200,Delivery,Church Street
11822,Donne Biryani Hatti,Yes,No,3.6,27,Vasanth Nagar,Quick Bites,Biryani,300,Delivery,Church Street
11823,Alibaba Cafe and Restaurant,Yes,No,3.9,450,Frazer Town,Casual Dining,"Arabian, Middle Eastern",700,Delivery,Church Street
11824,ThrowBack - Pub & Dine,No,No,3.9,234,Langford Town,"Bar, Casual Dining","Italian, North Indian, Continental",1000,Delivery,Church Street
11825,Vinny's,Yes,No,3.9,205,Brigade Road,Casual Dining,"Pizza, Italian, Continental, Desserts",800,Delivery,Church Street
11826,Chutney Chang,Yes,Yes,4.2,4733,Church Street,Casual Dining,"North Indian, Chinese, BBQ",1500,Delivery,Church Street
11827,Retro Lounge Bar,No,Yes,3.8,108,Ulsoor,Bar,"North Indian, Chinese",1400,Delivery,Church Street
11828,Smoor,Yes,No,4.1,63,MG Road,Dessert Parlor,Desserts,900,Delivery,Church Street
11829,Suryawanshi,Yes,No,4.2,447,Indiranagar,Casual Dining,"Seafood, Maharashtrian",700,Delivery,Church Street
11830,Chai Point,No,No,3.8,148,Cunningham Road,"Beverage Shop, Quick Bites","Tea, Beverages, Fast Food",250,Delivery,Church Street
11831,Zaks Mediterranean Cuisine,Yes,No,3.9,255,Frazer Town,Casual Dining,"Mediterranean, Arabian, Lebanese",700,Delivery,Church Street
11832,Tayabbs,Yes,No,3.0,9,Frazer Town,Quick Bites,"Rolls, North Indian, Fast Food",500,Delivery,Church Street
11833,Arya Bhavan Sweets,Yes,No,3.2,9,Vasanth Nagar,"Sweet Shop, Quick Bites","Mithai, Street Food, North Indian",300,Delivery,Church Street
11834,Infinitea Tea Room & Tea Store,Yes,Yes,4.3,860,Cunningham Road,"Casual Dining, Cafe","Continental, Cafe, Desserts, Salad, Momos",1000,Delivery,Church Street
11838,7 Plates,Yes,No,3.9,169,Frazer Town,Quick Bites,"North Indian, Mughlai, Rolls, Fast Food",600,Delivery,Church Street
11841,Donne Biriyani Mane,Yes,No,3.5,62,Church Street,Quick Bites,"Biryani, Kebab",400,Delivery,Church Street
11842,Mad Over Biryani,Yes,No,2.9,17,Church Street,Quick Bites,"North Indian, Biryani",600,Delivery,Church Street
11843,Chilli Chicken,Yes,No,3.1,7,Brigade Road,Quick Bites,Fast Food,500,Delivery,Church Street
11844,ZOROY Luxury Chocolate,Yes,No,4.0,68,Church Street,Dessert Parlor,Desserts,250,Delivery,Church Street
11846,The Belgian Waffle Co.,Yes,No,3.7,73,Residency Road,Dessert Parlor,"Desserts, Beverages",350,Delivery,Church Street
11847,Panchavati Gaurav Thali,Yes,Yes,4.0,929,Brigade Road,Casual Dining,"Rajasthani, Gujarati",800,Delivery,Church Street
11848,Manjit Da Dhaba,Yes,No,4.3,783,Frazer Town,Quick Bites,North Indian,300,Delivery,Church Street
11849,Anupam's Coast II Coast,Yes,Yes,4.1,853,Church Street,Casual Dining,"Seafood, Mangalorean, North Indian, Chinese",1400,Delivery,Church Street
11851,In Wok,Yes,No,3.6,118,Richmond Road,Casual Dining,Chinese,500,Delivery,Church Street
11852,Pabrai's Fresh & Naturelle Icecreams,Yes,No,4.2,131,Brigade Road,Dessert Parlor,"Ice Cream, Desserts",180,Delivery,Church Street
11854,Happy Belly Bakes,Yes,No,4.2,116,MG Road,"Cafe, Bakery","Cafe, Bakery",500,Delivery,Church Street
11855,Urban Solace - Caffor the Soul,Yes,No,3.9,462,Ulsoor,"Cafe, Casual Dining","Cafe, American, Continental, Steak",800,Delivery,Church Street
11856,Mani's Dum Biryani,Yes,No,4.0,175,Ulsoor,Casual Dining,"Biryani, Kebab",750,Delivery,Church Street
11857,Foody's,Yes,No,3.8,169,Shanti Nagar,Quick Bites,"North Indian, South Indian",250,Delivery,Church Street
11858,Bread and Circus,Yes,No,3.7,50,Shanti Nagar,Cafe,"Cafe, Fast Food, Pizza, Burger",550,Delivery,Church Street
11859,Swathi Deluxe Restaurant,Yes,No,3.0,74,Shanti Nagar,Casual Dining,North Indian,500,Delivery,Church Street
11860,Marzipan Cafe & Bakery,Yes,No,4.2,432,Ulsoor,"Cafe, Bakery","Cafe, Mediterranean, Bakery, Greek, Beverages",700,Delivery,Church Street
11861,Sri Krishna Sweets,Yes,No,3.8,33,Indiranagar,Sweet Shop,Mithai,250,Delivery,Church Street
11862,Fullyfilled,Yes,No,4.0,48,Indiranagar,Quick Bites,"Sandwich, Fast Food, Momos",200,Delivery,Church Street
11864,Desi Inn,Yes,No,3.5,13,Shanti Nagar,Quick Bites,North Indian,300,Delivery,Church Street
11865,Ishta Upahar,Yes,No,3.4,41,Ulsoor,Quick Bites,South Indian,100,Delivery,Church Street
11866,Al Swaad Take Away,Yes,No,3.1,13,Richmond Road,Quick Bites,"North Indian, South Indian, Arabian",350,Delivery,Church Street
11867,Karavali Kolimane,Yes,No,3.7,28,Wilson Garden,Quick Bites,"Mangalorean, Chinese, North Indian",350,Delivery,Church Street
11868,Copacabana Pub,No,No,3.7,0,Ulsoor,"Pub, Casual Dining","Mexican, North Indian, Continental",1500,Delivery,Church Street
11869,Ambur Star Briyani,Yes,No,3.7,17,Indiranagar,Casual Dining,"North Indian, Chinese, Biryani",500,Delivery,Church Street
11870,Nagarjuna,No,No,4.3,1772,Residency Road,Casual Dining,"Andhra, Biryani",800,Delivery,Church Street
11871,Hyderabad Biryaani House,No,No,4.3,1352,Richmond Road,Casual Dining,"Biryani, North Indian, Chinese",550,Delivery,Church Street
11872,Sunny's,No,Yes,4.1,1330,Lavelle Road,"Casual Dining, Bar","European, Italian, Seafood, Continental",2100,Delivery,Church Street
11873,Truffles,No,No,4.5,3573,St. Marks Road,Cafe,"Cafe, American, Burger, Steak",900,Delivery,Church Street
11874,Millers 46,No,Yes,4.4,2266,Vasanth Nagar,Casual Dining,"American, Continental, Steak",1100,Delivery,Church Street
11875,Green Onion,No,No,4.3,1187,Residency Road,Casual Dining,Chinese,550,Delivery,Church Street
11876,Sakae Japanese Restaurant,No,Yes,4.3,519,Shanti Nagar,Casual Dining,Japanese,1400,Delivery,Church Street
11877,Samrat Restaurant,No,No,4.1,484,Race Course Road,Casual Dining,"South Indian, North Indian",600,Delivery,Church Street
11878,Art of Delight,No,No,4.4,1899,Residency Road,Dessert Parlor,"Ice Cream, Desserts, Beverages",400,Delivery,Church Street
11879,Delisias,No,No,4.4,0,Brigade Road,Bakery,Bakery,400,Delivery,Church Street
11880,Japan Travel Cafe Azuki,No,No,4.3,67,Residency Road,Cafe,"Cafe, Japanese",400,Delivery,Church Street
11881,Khazana Food Paradise,No,No,4.1,358,Richmond Road,Quick Bites,"North Indian, Biryani",400,Delivery,Church Street
11882,Cafe Kaara,No,No,4.2,164,Ulsoor,Cafe,"Cafe, Salad, Desserts, Pizza",750,Delivery,Church Street
11883,CAMP TANDOOR,Yes,No,3.7,15,Ulsoor,Quick Bites,North Indian,300,Delivery,Church Street
11884,Pashto,No,No,4.1,768,Residency Road,Casual Dining,"North Indian, Mughlai, Afghan",800,Delivery,Church Street
11885,Lakeview Milkbar,No,No,4.0,1445,MG Road,"Dessert Parlor, Cafe","Desserts, Cafe, Fast Food",500,Delivery,Church Street
11886,Juice Junction,Yes,No,4.0,101,St. Marks Road,Quick Bites,"Juices, Fast Food",150,Delivery,Church Street
11887,Raidan Restaurant,No,No,3.9,169,Frazer Town,Casual Dining,"Arabian, Chinese, Fast Food",600,Delivery,Church Street
11888,KAARA BY THE LAKE,No,No,4.0,47,Ulsoor,Cafe,"Cafe, Italian, Coffee",750,Delivery,Church Street
11889,Konark Vegetarian Restaurant,No,No,3.9,155,Lavelle Road,Casual Dining,"North Indian, Chinese, Continental, South Indian",600,Delivery,Church Street
11890,Sugarberryz Cakery,No,No,3.9,53,Commercial Street,"Takeaway, Delivery","Bakery, Desserts",1200,Delivery,Church Street
11891,Trick Or Treat,No,No,4.2,618,Brigade Road,Cafe,"Cafe, Burger, Continental, Pizza, Steak",500,Delivery,Church Street
11892,Nandhini Deluxe,No,No,3.6,196,Frazer Town,Casual Dining,North Indian,600,Delivery,Church Street
11893,The Biryani Paradise,No,No,3.8,32,Richmond Road,Quick Bites,"Biryani, South Indian",350,Delivery,Church Street
11894,Stars 'N' Stripes,No,No,2.7,77,MG Road,Quick Bites,"North Indian, Chinese, Fast Food",500,Delivery,Church Street
11895,Juicemaker,No,No,3.8,29,Cunningham Road,Beverage Shop,"Beverages, Fast Food",400,Delivery,Church Street
11896,Skyline Family Restaurant,Yes,No,3.4,33,Shanti Nagar,Casual Dining,"North Indian, Chinese, Seafood, Mangalorean",550,Delivery,Church Street
11897,New Prashanth Naati Style,No,No,3.8,29,Cunningham Road,Quick Bites,"South Indian, Biryani",400,Delivery,Church Street
11898,The Chocolate Heaven,No,No,3.8,0,Commercial Street,"Dessert Parlor, Cafe","Desserts, Cafe",600,Delivery,Church Street
11899,All Saints Bakery,No,No,3.6,23,Brigade Road,Bakery,Bakery,200,Delivery,Church Street
11900,Little Chef,No,No,4.0,102,Richmond Road,Casual Dining,Chinese,550,Delivery,Church Street
11901,Tibbs Frankie,No,No,3.8,24,Brigade Road,Quick Bites,"Street Food, Rolls",200,Delivery,Church Street
11902,California Burrito,No,No,4.0,53,Cunningham Road,Quick Bites,"Mexican, Fast Food",400,Delivery,Church Street
11903,Aroma Of Asia,No,No,3.9,49,Frazer Town,Quick Bites,"Fast Food, Momos",400,Delivery,Church Street
11904,Iyengars' Bakery,No,No,3.4,14,Richmond Road,Bakery,Bakery,200,Delivery,Church Street
11905,Rolls On Wheels,No,No,3.7,61,Cunningham Road,Quick Bites,"Fast Food, Rolls, Momos",200,Delivery,Church Street
11906,Grand Spicy Restaurant,No,No,3.6,34,Cunningham Road,Casual Dining,"North Indian, Mughlai, Chinese",700,Delivery,Church Street
11907,Sidewalk Cafe - Nahar's Heritage Hotel,No,No,3.9,136,St. Marks Road,Casual Dining,"Italian, Fast Food",800,Delivery,Church Street
11908,Haji Ali Juice Centre,No,No,3.8,22,MG Road,"Beverage Shop, Quick Bites","Beverages, Cafe, Juices, Fast Food",350,Delivery,Church Street
11909,Lickity Garden,Yes,No,3.2,4,Frazer Town,Casual Dining,"Continental, Mexican, Biryani, Italian, Chinese, Arabian, Steak",750,Delivery,Church Street
11910,Yomama!!,No,No,3.6,7,Brigade Road,Quick Bites,"Continental, Burger, Cafe, Steak",800,Delivery,Church Street
11912,Peppa Zzing,Yes,No,4.3,1133,Infantry Road,Cafe,"Cafe, Fast Food, Burger",800,Delivery,Church Street
11913,Halli Oota,No,No,3.3,6,St. Marks Road,Casual Dining,"South Indian, Biryani",450,Delivery,Church Street
11914,China Hut,No,No,3.8,56,Frazer Town,Kiosk,Chinese,500,Delivery,Church Street
11915,Pop'z Kitchen,No,No,3.7,23,Lavelle Road,Bakery,Bakery,250,Delivery,Church Street
11916,Canopy,No,No,3.0,108,MG Road,Casual Dining,"North Indian, Continental, Chinese",800,Delivery,Church Street
11917,Cafe @ Elanza,No,No,3.7,145,Richmond Road,"Casual Dining, Cafe","Chinese, North Indian, Cafe",1000,Delivery,Church Street
11918,New Udupi Upahar,No,No,3.7,0,Richmond Road,Quick Bites,"South Indian, North Indian, Chinese",300,Delivery,Church Street
11919,Chai Ki Tapri,No,No,3.7,16,MG Road,Cafe,Cafe,250,Delivery,Church Street
11920,Tempura Restaurant,No,No,3.9,122,Brigade Road,Casual Dining,"Japanese, Chinese, Tibetan, Momos",500,Delivery,Church Street
11921,Choi Choi Momos,No,No,3.8,29,Brigade Road,Kiosk,"Chinese, Fast Food, Momos",300,Delivery,Church Street
11922,Chocolate Junction,No,No,3.8,29,Ulsoor,Dessert Parlor,Desserts,200,Delivery,Church Street
11923,Aishwarya Uphar,No,No,3.8,0,Ulsoor,Quick Bites,"South Indian, North Indian",150,Delivery,Church Street
11924,Lassi House,No,No,3.8,0,Commercial Street,Beverage Shop,"Beverages, Desserts",150,Delivery,Church Street
11925,Ultra Biriyani Paradise,No,No,3.3,9,Shanti Nagar,Quick Bites,Biryani,300,Delivery,Church Street
11927,Nithyothsav - Hotel Ramanashree,No,No,3.0,31,MG Road,Casual Dining,"North Indian, Chinese",1000,Delivery,Church Street
11928,Hashtag Cafe,No,No,2.8,44,Brigade Road,Cafe,"Cafe, Continental, European, Italian",700,Delivery,Church Street
11929,The Taste Adda,No,No,2.8,0,Ulsoor,Quick Bites,"North Indian, Fast Food, Beverages",200,Delivery,Church Street
11930,Gundappa Donne Biryani,No,No,3.7,161,St. Marks Road,Quick Bites,Biryani,300,Delivery,Church Street
11931,Stir Fry,No,No,4.0,209,Residency Road,Casual Dining,"Chinese, Momos",500,Delivery,Church Street
11932,Shanthi Sagar Deluxe,No,No,2.7,52,Frazer Town,Casual Dining,"South Indian, North Indian, Fast Food",500,Delivery,Church Street
11933,New Arya Bhavan,No,No,3.1,23,MG Road,Quick Bites,"Street Food, Beverages, North Indian",300,Delivery,Church Street
11934,Croons,No,No,3.8,26,Brigade Road,Dessert Parlor,Desserts,350,Delivery,Church Street
11936,MiniMelts,No,No,3.9,66,Brigade Road,Dessert Parlor,"Ice Cream, Desserts",200,Delivery,Church Street
11937,Aathithya,No,No,3.1,16,Infantry Road,Casual Dining,"North Indian, Continental, Chinese",1100,Delivery,Church Street
11938,VT Sindhur Veg,No,No,3.3,13,Richmond Road,Casual Dining,"North Indian, Chinese",600,Delivery,Church Street
11939,Hotel Green Tara,No,No,3.9,40,Brigade Road,Casual Dining,"Chinese, Tibetan, Momos",500,Delivery,Church Street
11940,Nagashree's,No,No,2.9,46,Shanti Nagar,Casual Dining,"South Indian, North Indian, Fast Food",550,Delivery,Church Street
11941,Mughals Restaurant,No,No,3.2,17,Shivajinagar,Casual Dining,"Mughlai, North Indian, Chinese, Biryani, Seafood",550,Delivery,Church Street
11942,Sri Krishna Foodline,No,No,3.3,4,Ulsoor,Quick Bites,North Indian,100,Delivery,Church Street
11943,Chaithanya Andhra Style Family Restaurant,No,No,3.2,4,Cunningham Road,Casual Dining,"Andhra, North Indian, Chinese",600,Delivery,Church Street
11944,The Sugar Therapy,No,No,3.8,26,Richmond Road,"Dessert Parlor, Bakery","Desserts, Bakery",500,Delivery,Church Street
11945,Al Sadique Restaurant,No,No,3.5,31,Frazer Town,Quick Bites,"Mughlai, North Indian, Street Food",350,Delivery,Church Street
11946,Shake N Snack,No,No,3.6,18,Shanti Nagar,Beverage Shop,"Beverages, Fast Food",200,Delivery,Church Street
11948,Feast and Burp,No,No,3.3,4,Bannerghatta Road,Quick Bites,North Indian,300,Delivery,Church Street
11949,New Kohinoor Hotel,No,No,3.2,9,Commercial Street,Casual Dining,North Indian,450,Delivery,Church Street
11950,Little Bites,No,No,3.6,7,MG Road,"Cafe, Quick Bites","Cafe, Fast Food",200,Delivery,Church Street
11953,Hatti Punjab Di,No,No,3.4,8,Brigade Road,Quick Bites,North Indian,450,Delivery,Church Street
11954,RR Catering,No,No,3.4,10,MG Road,Quick Bites,"North Indian, Chinese, Biryani",350,Delivery,Church Street
11956,Ambur Hot Dum Biryani,No,No,3.1,6,Shanti Nagar,Quick Bites,"Biryani, Kebab",250,Delivery,Church Street
11958,Kanis Kitchen,No,No,3.6,14,Shivajinagar,Quick Bites,South Indian,250,Delivery,Church Street
11960,Hit and Run,No,No,3.7,15,Central Bangalore,Food Truck,"Fast Food, Continental",350,Delivery,Church Street
11962,Le Chri,No,No,3.8,33,Shanti Nagar,Delivery,"Bakery, Desserts",350,Delivery,Church Street
11963,Dine In,No,No,3.6,8,Brigade Road,Quick Bites,"Kerala, South Indian, North Indian, Chinese",400,Delivery,Church Street
11964,Spicy Restaurant,No,No,3.0,25,Vasanth Nagar,Quick Bites,"North Indian, Chinese",400,Delivery,Church Street
11965,Cake of the Day,No,No,3.5,19,Majestic,"Bakery, Dessert Parlor",Bakery,150,Delivery,Church Street
11966,Kinara Tiffany,No,No,3.6,15,Vasanth Nagar,Quick Bites,South Indian,100,Delivery,Church Street
11967,Painted Platters,No,No,3.9,38,Ulsoor,Bakery,"Bakery, Desserts",300,Delivery,Church Street
11968,Bhaiya Ji Food Court,No,No,3.0,16,Ulsoor,Quick Bites,"North Indian, Street Food",150,Delivery,Church Street
11969,Little Paramount Restaurants,No,No,3.6,32,Vasanth Nagar,Quick Bites,"Mughlai, North Indian",400,Delivery,Church Street
11970,Goli Vada Pav NO.1,No,No,3.4,7,MG Road,Quick Bites,Street Food,200,Delivery,Church Street
11971,Baskin Robbins,No,No,3.1,17,Vasanth Nagar,Dessert Parlor,"Ice Cream, Desserts",250,Delivery,Church Street
11984,Natural Ice Cream,No,No,4.2,220,St. Marks Road,Dessert Parlor,"Ice Cream, Desserts",150,Delivery,Church Street
11987,The Bao Belly,No,No,3.3,9,Residency Road,Cafe,Cafe,400,Delivery,Church Street
11988,Zaiqa,No,No,3.4,8,Richmond Road,Quick Bites,"North Indian, Chinese",350,Delivery,Church Street
11989,Rescafe,No,No,3.8,41,Residency Road,Quick Bites,Beverages,100,Delivery,Church Street
11990,Bhaiyaji Food Court,No,No,3.4,27,MG Road,Quick Bites,"North Indian, Mithai",300,Delivery,Church Street
11991,Tandoor Da Funda,No,No,3.6,15,MG Road,Quick Bites,North Indian,350,Delivery,Church Street
11996,Shiv Sager,No,No,3.0,10,Brigade Road,Food Court,"South Indian, North Indian, Chinese",200,Delivery,Church Street
11998,Lassi Corner,Yes,No,3.0,0,Vijay Nagar,Beverage Shop,"Beverages, Desserts",300,Delivery,Church Street
11999,Adithya Tiffin Centre,No,No,3.0,0,Shanti Nagar,"Takeaway, Delivery",North Indian,200,Delivery,Church Street
12003,Bhartiya Jalpan,No,No,3.0,0,Commercial Street,Casual Dining,"North Indian, Street Food, Chinese",800,Delivery,Church Street
12004,Coastal Creek,No,No,3.3,13,Vasanth Nagar,Casual Dining,"North Indian, Continental, South Indian",600,Delivery,Church Street
12005,Lazzet Lee,No,No,3.3,0,Lavelle Road,Quick Bites,"Mughlai, Cafe",400,Delivery,Church Street
12006,Five Senses,Yes,No,3.3,0,Ulsoor,"Takeaway, Delivery","Continental, North Indian, Fast Food",500,Delivery,Church Street
12007,Batter Splatter,No,No,3.3,5,Lavelle Road,Bakery,Bakery,350,Delivery,Church Street
12010,Malabar Kitchen,Yes,No,3.2,5,Commercial Street,Quick Bites,"Kerala, North Indian, Chinese",300,Delivery,Church Street
12011,Kerala Food,No,No,3.2,0,Vasanth Nagar,Quick Bites,"South Indian, Chinese, North Indian",200,Delivery,Church Street
12026,Casa Express,No,No,2.6,26,Residency Road,Quick Bites,"Chinese, Italian",400,Delivery,Church Street
12027,Pappu Chaiwalla,No,No,3.3,33,St. Marks Road,Quick Bites,"Fast Food, Tea, Beverages",300,Delivery,Church Street
12028,Kamat's Palate Korner,No,No,4.1,121,Richmond Road,Casual Dining,"North Indian, Chinese",600,Delivery,Church Street
12029,Shiv Sagar,No,No,4.1,0,MG Road,Casual Dining,"South Indian, North Indian, Chinese",800,Delivery,Church Street
12030,LocalHost,No,No,4.1,0,Whitefield,Quick Bites,"Fast Food, Street Food, Beverages",100,Delivery,Church Street
12031,Petoo,No,No,3.7,32,Commercial Street,Casual Dining,"North Indian, Fast Food, Street Food",800,Delivery,Church Street
12032,Shiv Sagar,No,No,3.7,0,Brigade Road,Quick Bites,"South Indian, Street Food, North Indian",250,Delivery,Church Street
12033,Kulfi Point,No,No,3.4,5,Indiranagar,Dessert Parlor,Desserts,150,Delivery,Church Street
12035,Khan Saheb Grills and Rolls,Yes,No,3.9,185,Commercial Street,Quick Bites,"Fast Food, Rolls",350,Delivery,Church Street
12039,Cafe Mangii,Yes,Yes,4.3,1048,Lavelle Road,Casual Dining,"Italian, Continental, Pizza",1600,Delivery,Church Street
12040,Fabcafe,Yes,Yes,4.1,55,MG Road,Cafe,"Cafe, Healthy Food",800,Delivery,Church Street
12042,Cafe Coffee Day,Yes,No,2.9,55,Lavelle Road,Cafe,"Cafe, Fast Food",650,Delivery,Church Street
12044,New Prashanth Hotel,Yes,No,3.7,50,Majestic,Casual Dining,"South Indian, Biryani, Chinese, North Indian",750,Delivery,Church Street
12045,Amande Patisserie,Yes,No,4.2,231,Lavelle Road,"Bakery, Dessert Parlor","Bakery, French, Desserts",300,Delivery,Church Street
12046,Delices,Yes,No,3.1,6,Ulsoor,Bakery,"Bakery, Desserts",400,Delivery,Church Street
12047,Kolkatta Famous Chat,Yes,No,3.7,23,Indiranagar,Quick Bites,"Street Food, North Indian",100,Delivery,Church Street
12048,Rawal Jalebi,Yes,No,3.5,9,Commercial Street,Dessert Parlor,Desserts,100,Delivery,Church Street
